Kernel,Class,F1-Score,Precision,Recall,k,lambda
SSK,0,0.5777777777777778,0.52,0.65,5.0,0.05
SSK,1,0.4,0.3333333333333333,0.5,5.0,0.05
SSK,2,0.4,0.6,0.3,5.0,0.05
SSK,3,0.4,0.4666666666666667,0.35,5.0,0.05
SSK,0,0.6842105263157895,0.7222222222222222,0.65,5.0,0.07
SSK,1,0.5283018867924527,0.42424242424242425,0.7,5.0,0.07
SSK,2,0.4,0.6,0.3,5.0,0.07
SSK,3,0.46153846153846156,0.47368421052631576,0.45,5.0,0.07
SSK,0,0.6666666666666665,0.75,0.6,5.0,0.09
SSK,1,0.509090909090909,0.4,0.7,5.0,0.09
SSK,2,0.4,0.6,0.3,5.0,0.09
SSK,3,0.46153846153846156,0.47368421052631576,0.45,5.0,0.09
SSK,0,0.6666666666666665,0.75,0.6,5.0,0.1
SSK,1,0.5185185185185185,0.4117647058823529,0.7,5.0,0.1
SSK,2,0.4375,0.5833333333333334,0.35,5.0,0.1
SSK,3,0.5263157894736842,0.5555555555555556,0.5,5.0,0.1
SSK,0,0.7058823529411764,0.8571428571428571,0.6,5.0,0.3
SSK,1,0.5098039215686274,0.41935483870967744,0.65,5.0,0.3
SSK,2,0.5263157894736842,0.5555555555555556,0.5,5.0,0.3
SSK,3,0.4324324324324324,0.47058823529411764,0.4,5.0,0.3
SSK,0,0.8,0.9333333333333333,0.7,5.0,0.5
SSK,1,0.6190476190476191,0.5909090909090909,0.65,5.0,0.5
SSK,2,0.6818181818181818,0.625,0.75,5.0,0.5
SSK,3,0.6153846153846154,0.631578947368421,0.6,5.0,0.5
SSK,0,0.8205128205128205,0.8421052631578947,0.8,5.0,0.7
SSK,1,0.8095238095238095,0.7727272727272727,0.85,5.0,0.7
SSK,2,0.7894736842105262,0.8333333333333334,0.75,5.0,0.7
